timestamp,tweets_count,usernames_count,likes_sum,replies_sum,retweets_sum,compound_score_sum,positive_score_sum,negative_score_sum,neutral_score_sum,likes_mean,replies_mean,retweets_mean,compound_score_mean,positive_score_mean,negative_score_mean,neutral_score_mean
1612029600,1230,1230,10597,712,1233,89.3221,112.708,76.038,1203.249,7.612787356321839,0.5114942528735632,0.8857758620689655,0.06416817528735633,0.0809683908045977,0.054625,0.8644030172413794
1612033200,1198,1198,4745,633,592,81.7109,116.39,85.503,1121.103,3.5865457294028724,0.47845804988662133,0.4474678760393046,0.061761829176114884,0.08797430083144368,0.0646281179138322,0.8473945578231293
1612036800,1508,1508,8359,942,898,91.9918,144.801,105.88,1415.327,5.017406962785114,0.5654261704681873,0.539015606242497,0.0552171668667467,0.08691536614645858,0.06355342136854741,0.8495360144057623
1612040400,1362,1362,5169,817,612,113.6153,129.895,76.876,1250.21,3.547700754975978,0.5607412491420728,0.4200411805078929,0.07797892930679479,0.08915236787920384,0.05276321207961565,0.8580713795470144
1612044000,1137,1137,9709,813,960,119.2669,113.257,67.888,1036.856,7.971264367816092,0.6674876847290641,0.7881773399014779,0.09792027914614122,0.09298604269293925,0.05573727422003284,0.8512775041050903
1612047600,1299,1299,8907,769,1716,134.03040000000001,118.278,63.474,1225.257,6.330490405117271,0.5465529495380241,1.2196162046908317,0.09525970149253732,0.08406396588486141,0.04511300639658848,0.8708294243070362
1612051200,884,884,7284,570,953,94.4175,80.721,41.064,810.213,7.815450643776824,0.6115879828326181,1.0225321888412018,0.10130633047210301,0.08661051502145924,0.044060085836909874,0.869327253218884
1612054800,799,799,7981,569,788,77.8873,80.214,42.762,723.019,9.433806146572104,0.6725768321513003,0.9314420803782506,0.09206536643026005,0.09481560283687943,0.05054609929078014,0.8546323877068558
1612058400,707,707,4513,493,634,55.3411,62.799,44.808,655.393,5.91480996068152,0.6461336828309305,0.8309305373525557,0.07253093053735256,0.08230537352555702,0.05872608125819135,0.8589685452162517
1612062000,693,693,2411,344,294,79.0646,69.96,35.887,622.152,3.3118131868131866,0.4725274725274725,0.40384615384615385,0.10860521978021978,0.0960989010989011,0.04929532967032967,0.8546043956043957
1612065600,610,610,1494,294,185,55.3193,55.105,30.467,546.427,2.3639240506329116,0.4651898734177215,0.2927215189873418,0.08753053797468355,0.08719145569620253,0.04820727848101266,0.8645996835443038
1612069200,491,491,1901,338,425,40.9153,45.941,28.448,448.614,3.6347992351816445,0.6462715105162524,0.8126195028680688,0.078231931166348,0.08784130019120459,0.05439388145315488,0.8577705544933077
1612072800,385,385,1172,170,161,59.3912,42.435,19.552,347.009,2.8655256723716382,0.4156479217603912,0.39364303178484106,0.14521075794621027,0.10375305623471884,0.04780440097799511,0.8484327628361858
1612076400,374,374,1161,177,217,48.0103,36.064,18.457,339.477,2.946700507614213,0.44923857868020306,0.550761421319797,0.12185355329949239,0.09153299492385787,0.04684517766497462,0.8616167512690355
1612080000,277,277,669,104,139,33.7294,30.14,15.261,248.599,2.2755102040816326,0.35374149659863946,0.47278911564625853,0.11472585034013605,0.10251700680272109,0.05190816326530612,0.8455748299319727
1612083600,255,255,794,165,392,29.2745,25.192,15.339,238.469,2.845878136200717,0.5913978494623656,1.4050179211469533,0.10492652329749104,0.09029390681003584,0.054978494623655914,0.8547275985663082
1612087200,270,270,854,156,153,28.6962,24.366,14.894,254.74099999999999,2.9047619047619047,0.5306122448979592,0.5204081632653061,0.0976061224489796,0.08287755102040817,0.05065986394557823,0.8664659863945577
1612090800,305,305,722,122,128,25.5503,26.324,14.735,284.941,2.214723926380368,0.37423312883435583,0.39263803680981596,0.07837515337423313,0.08074846625766871,0.045199386503067485,0.8740521472392637
1612094400,287,287,875,164,259,20.05,29.089,18.469,266.443,2.786624203821656,0.5222929936305732,0.8248407643312102,0.06385350318471338,0.09264012738853503,0.05881847133757962,0.8485445859872611
1612098000,335,335,1610,143,275,36.7064,30.948,12.113,304.941,4.626436781609195,0.4109195402298851,0.7902298850574713,0.10547816091954024,0.08893103448275862,0.03480747126436781,0.8762672413793102
1612101600,363,363,1195,176,242,36.5462,34.089,17.134,321.779,3.2037533512064345,0.4718498659517426,0.6487935656836461,0.09797908847184986,0.09139142091152815,0.04593565683646113,0.8626782841823056
1612105200,338,338,1267,196,235,42.8883,30.848,14.206,305.946,3.6096866096866096,0.5584045584045584,0.6695156695156695,0.12218888888888889,0.08788603988603988,0.04047293447293447,0.8716410256410257
1612108800,429,429,1552,204,260,32.2921,40.005,21.867,390.13100000000003,3.433628318584071,0.45132743362831856,0.5752212389380531,0.07144269911504424,0.0885066371681416,0.048378318584070795,0.8631216814159293
1612112400,516,516,2375,271,1143,57.4294,48.067,24.197,455.738,4.4981060606060606,0.5132575757575758,2.164772727272727,0.10876780303030303,0.09103598484848485,0.045827651515151516,0.8631401515151516
1612116000,892,892,3875,452,1139,102.355,78.453,35.561,796.989,4.253567508232711,0.4961580680570801,1.2502744237102086,0.11235455543358946,0.08611745334796926,0.039035126234906695,0.8748507135016466
1612119600,2186,2186,13636,990,2263,163.4891,164.523,96.43,1988.052,6.063139172965762,0.44019564250778126,1.0062249888839485,0.07269413072476656,0.07315384615384615,0.04287683414851045,0.8839715429079591
1612123200,1392,1392,15178,1020,3923,128.8855,121.835,64.483,1234.677,10.681210415200564,0.7178043631245602,2.76073187895848,0.09070056298381422,0.08573891625615764,0.04537860661505982,0.8688789584799437
1612126800,1738,1738,24366,2006,5487,201.8941,160.453,60.689,1612.844,13.285714285714286,1.0937840785169028,2.9918211559432932,0.1100840239912759,0.08748800436205016,0.03309105779716467,0.8794133042529989
1612130400,961,961,3732,447,752,82.8935,83.369,48.625,883.997,3.673228346456693,0.43996062992125984,0.7401574803149606,0.0815880905511811,0.08205610236220473,0.047859251968503935,0.8700757874015748
1612134000,725,725,2358,356,716,95.2565,73.408,30.805,644.789,3.1481975967957276,0.4753004005340454,0.9559412550066756,0.12717823765020028,0.09800801068090788,0.041128170894526035,0.8608664886515354
1612137600,694,694,4715,406,925,79.6945,68.543,35.499,622.959,6.485557083906465,0.5584594222833562,1.2723521320495186,0.10962104539202201,0.09428198074277855,0.048829436038514445,0.8568899587345253
1612141200,564,564,3978,411,1103,79.5013,53.749,20.833,496.415,6.966725043782837,0.7197898423817863,1.9316987740805605,0.13923169877408056,0.09413134851138354,0.03648511383537653,0.8693782837127846
1612144800,759,759,60288,5450,7665,107.7506,78.781,27.457,681.758,76.50761421319797,6.916243654822335,9.72715736040609,0.13673934010152286,0.0999758883248731,0.034843908629441624,0.8651751269035534
1612148400,664,664,3196,321,490,58.1918,54.574,30.059,678.363,4.18872870249017,0.42070773263433814,0.6422018348623854,0.07626710353866317,0.07152555701179554,0.03939580602883355,0.8890733944954129
1612152000,500,500,1272,228,160,54.0421,48.294,28.259,444.446,2.441458733205374,0.43761996161228406,0.30710172744721687,0.10372763915547024,0.09269481765834932,0.05423992322456814,0.853063339731286
1612155600,657,657,2043,327,338,64.5508,57.949,28.109,586.942,3.0356612184249627,0.48588410104011887,0.5022288261515602,0.0959150074294205,0.08610549777117385,0.041766716196136706,0.8721277860326895
1612159200,683,683,3144,359,1824,75.3236,64.051,33.41,611.535,4.43441466854725,0.5063469675599436,2.5726375176304654,0.10623921015514809,0.09033991537376587,0.047122708039492235,0.8625317348377997
1612162800,895,895,7439,605,1850,160.2534,109.199,47.447,946.366,6.744333635539438,0.5485040797824116,1.6772438803263825,0.14528866727107886,0.09900181323662738,0.04301631912964642,0.8579927470534905
1612166400,392,392,1701,267,251,48.9133,36.857,20.064,529.08,2.9027303754266214,0.45563139931740615,0.4283276450511945,0.083469795221843,0.06289590443686006,0.03423890784982935,0.9028668941979523
1612170000,409,409,1430,180,197,15.351200000000002,32.745,27.983,449.296,2.803921568627451,0.35294117647058826,0.3862745098039216,0.03010039215686275,0.06420588235294117,0.054868627450980395,0.8809725490196079
1612173600,384,384,4300,738,782,40.708200000000005,35.642,21.35,398.028,9.45054945054945,1.621978021978022,1.7186813186813186,0.08946857142857144,0.07833406593406594,0.04692307692307693,0.8747868131868133
